"Freq [GHz]","Phase [deg]","Distance [mm]","Mag_E [V_per_meter]"
2.4,90,0,0.0845053164594235
2.4,90,2.40004,0.0596392534755223
2.4,90,4.80008,0.0257910900709155
2.4,90,7.20012,0.00154173416185019
2.4,90,9.60016,0.0157790423255569
2.4,90,12.0002,0.0413046731757987
2.4,90,14.40024,0.0641920663823098
2.4,90,16.80028,0.0817774032341099
2.4,90,19.20032,0.101119051484915
2.4,90,21.60036,0.119599908209591
2.4,90,24.0004,0.148212066388018
2.4,90,26.40044,0.175853094498957
2.4,90,28.80048,0.198367947285905
2.4,90,31.20052,0.215746655031469
2.4,90,33.60056,0.227981079634721
2.4,90,36.0006,0.235064914611187
2.4,90,38.40064,0.236993685092855
2.4,90,40.80068,0.233764747828173
2.4,90,43.20072,0.225377291182045
2.4,90,45.60076,0.211832335135837
2.4,90,48.0008,0.193132731287374
2.4,90,50.40084,0.177077210784013
2.4,90,52.80088,0.17806241321524
2.4,90,55.20092,0.180302824397453
2.4,90,57.60096,0.18380347083692
2.4,90,60.001,0.188589302578513
2.4,90,62.40104,0.222384261470511
2.4,90,64.80108,0.172248220971012
2.4,90,67.20112,0.105692600022505
2.4,90,69.60116,0.0594603265326105
2.4,90,72.0012,0.0567210886894355
2.4,90,74.40124,0.10707133496157
2.4,90,76.80128,0.206534274098085
2.4,90,79.20132,0.337559875128541
2.4,90,81.60136,0.523394222895104
2.4,90,84.0014,0.708755118415103
2.4,90,86.40144,0.877576762518034
2.4,90,88.80148,1.02985936443282
2.4,90,91.20152,1.1656032010764
2.4,90,93.60156,1.28480861705375
2.4,90,96.0016,1.37734260670866
2.4,90,98.40164,1.4115920145254
2.4,90,100.80168,1.40028234403851
2.4,90,103.20172,1.33088777015951
2.4,90,105.60176,1.22274939473907
2.4,90,108.0018,1.0758696762312
2.4,90,110.40184,0.917668241330439
2.4,90,112.80188,0.748723115551712
2.4,90,115.20192,0.41376543388841
2.4,90,117.60196,0.139360028534241
2.4,90,120.002,0.0547803097891517
2.4,90,122.40204,0.192008266059336
2.4,90,124.80208,0.485290242059081
2.4,90,127.20212,0.771897531997754
2.4,90,129.60216,0.901691035684245
2.4,90,132.0022,1.10124947957645
2.4,90,134.40224,1.27988032303588
2.4,90,136.80228,1.43716327570038
2.4,90,139.20232,1.57432217879672
2.4,90,141.60236,1.69135784865728
2.4,90,144.0024,1.78827266705374
2.4,90,146.40244,1.86457022317484
2.4,90,148.80248,1.90334178110909
2.4,90,151.20252,1.91071665675591
2.4,90,153.60256,1.89449593624091
2.4,90,156.0026,1.85467997154243
2.4,90,158.40264,1.79139924564139
2.4,90,160.80268,1.70425743515274
2.4,90,163.20272,1.59070286723671
2.4,90,165.60276,1.38296169570664
2.4,90,168.0028,1.22945017447056
2.4,90,170.40284,1.08149477708868
2.4,90,172.80288,0.89078680201136
2.4,90,175.20292,0.658303574446424
2.4,90,177.60296,0.40904246420505
2.4,90,180.003,0.181401269701795
2.4,90,182.40304,0.0271782179546005
2.4,90,184.80308,0.0115719645848036
2.4,90,187.20312,0.213181593817125
2.4,90,189.60316,0.6824345300097
2.4,90,192.0032,0.897955573742663
2.4,90,194.40324,1.09481018075471
2.4,90,196.80328,1.27299585614873
2.4,90,199.20332,1.43167178268015
2.4,90,201.60336,1.5708324169245
2.4,90,204.0034,1.6905260729882
2.4,90,206.40344,1.79290741879828
2.4,90,208.80348,1.86305823123133
2.4,90,211.20352,1.90317418658543
2.4,90,213.60356,1.91339540736362
2.4,90,216.0036,1.89753558486095
2.4,90,218.40364,1.85607845495019
2.4,90,220.80368,1.78803744748565
2.4,90,223.20372,1.69300859342228
2.4,90,225.60376,1.5749701016132
2.4,90,228.0038,nan
2.4,90,230.40384,nan
2.4,90,232.80388,nan
2.4,90,235.20392,nan
2.4,90,237.60396,nan
2.4,90,240.004,nan
